湖南电信,#genre#
CCTV4,http://118.254.201.247:8888/udp/239.76.245.195:1234
CCTV4,http://118.254.201.247:8888/udp/239.76.246.154:1234
CCTV4,http://118.254.201.247:8888/udp/239.76.253.154:9000
CCTV4,http://118.254.203.199:8888/udp/239.76.245.195:1234
CCTV4,http://118.254.203.199:8888/udp/239.76.246.154:1234
CCTV4,http://118.254.203.199:8888/udp/239.76.253.154:9000
CCTV4,http://124.230.56.20:55555/udp/239.76.245.195:1234
CCTV4,http://124.230.56.20:55555/udp/239.76.246.154:1234
CCTV4,http://124.230.56.20:55555/udp/239.76.253.154:9000
CCTV4,http://175.10.77.250:8089/udp/239.76.245.195:1234
CCTV4,http://175.10.77.250:8089/udp/239.76.246.154:1234
CCTV4,http://175.10.77.250:8089/udp/239.76.253.154:9000
CCTV4,http://175.10.78.239:8089/udp/239.76.245.195:1234
CCTV4,http://175.10.78.239:8089/udp/239.76.246.154:1234
CCTV4,http://175.10.78.239:8089/udp/239.76.253.154:9000
CCTV4,http://175.10.79.138:8089/udp/239.76.245.195:1234
CCTV4,http://175.10.79.138:8089/udp/239.76.246.154:1234
CCTV4,http://175.10.79.138:8089/udp/239.76.253.154:9000
CCTV4,http://175.10.79.98:8089/udp/239.76.245.195:1234
CCTV4,http://175.10.79.98:8089/udp/239.76.246.154:1234
CCTV4,http://175.10.79.98:8089/udp/239.76.253.154:9000
CCTV4,http://58.46.249.210:4022/udp/239.76.245.195:1234
CCTV4,http://58.46.249.210:4022/udp/239.76.246.154:1234
CCTV4,http://58.46.249.210:4022/udp/239.76.253.154:9000
CCTV5+,http://118.254.156.192:8888/udp/239.76.246.168:1234
CCTV5+,http://118.254.156.192:8888/udp/239.76.253.168:9000
CCTV5+,http://118.254.157.12:8888/udp/239.76.246.168:1234
CCTV5+,http://118.254.157.12:8888/udp/239.76.253.168:9000
CCTV5+,http://118.254.200.62:8888/udp/239.76.246.168:1234
CCTV5+,http://118.254.200.62:8888/udp/239.76.253.168:9000
CCTV5+,http://118.254.201.216:8888/udp/239.76.246.168:1234
CCTV5+,http://118.254.201.216:8888/udp/239.76.253.168:9000
CCTV5+,http://118.254.201.247:8888/udp/239.76.246.168:1234
CCTV5+,http://118.254.201.247:8888/udp/239.76.253.168:9000
CCTV5+,http://118.254.203.199:8888/udp/239.76.246.168:1234
CCTV5+,http://118.254.203.199:8888/udp/239.76.253.168:9000
CCTV5+,http://124.230.56.20:55555/udp/239.76.246.168:1234
CCTV5+,http://124.230.56.20:55555/udp/239.76.253.168:9000
CCTV5+,http://175.10.77.250:8089/udp/239.76.246.168:1234
CCTV5+,http://175.10.77.250:8089/udp/239.76.253.168:9000
CCTV5+,http://175.10.78.239:8089/udp/239.76.246.168:1234
CCTV5+,http://175.10.78.239:8089/udp/239.76.253.168:9000
CCTV5+,http://175.10.79.138:8089/udp/239.76.246.168:1234
CCTV5+,http://175.10.79.138:8089/udp/239.76.253.168:9000
CCTV5+,http://175.10.79.98:8089/udp/239.76.246.168:1234
CCTV5+,http://175.10.79.98:8089/udp/239.76.253.168:9000
CCTV5+,http://58.46.249.210:4022/udp/239.76.246.168:1234
CCTV5+,http://58.46.249.210:4022/udp/239.76.253.168:9000
CCTV5,http://118.254.156.192:8888/udp/239.76.246.155:1234
CCTV5,http://118.254.156.192:8888/udp/239.76.253.155:9000
CCTV5,http://118.254.157.12:8888/udp/239.76.246.155:1234
CCTV5,http://118.254.157.12:8888/udp/239.76.253.155:9000
CCTV5,http://118.254.200.62:8888/udp/239.76.246.155:1234
CCTV5,http://118.254.200.62:8888/udp/239.76.253.155:9000
CCTV5,http://118.254.201.216:8888/udp/239.76.246.155:1234
CCTV5,http://118.254.201.216:8888/udp/239.76.253.155:9000
CCTV5,http://118.254.201.247:8888/udp/239.76.246.155:1234
CCTV5,http://118.254.201.247:8888/udp/239.76.253.155:9000
CCTV5,http://118.254.203.199:8888/udp/239.76.246.155:1234
CCTV5,http://118.254.203.199:8888/udp/239.76.253.155:9000
CCTV5,http://124.230.56.20:55555/udp/239.76.246.155:1234
CCTV5,http://124.230.56.20:55555/udp/239.76.253.155:9000
CCTV5,http://175.10.77.250:8089/udp/239.76.246.155:1234
CCTV5,http://175.10.77.250:8089/udp/239.76.253.155:9000
CCTV5,http://175.10.78.239:8089/udp/239.76.246.155:1234
CCTV5,http://175.10.78.239:8089/udp/239.76.253.155:9000
CCTV5,http://175.10.79.138:8089/udp/239.76.246.155:1234
CCTV5,http://175.10.79.138:8089/udp/239.76.253.155:9000
CCTV5,http://175.10.79.98:8089/udp/239.76.246.155:1234
CCTV5,http://175.10.79.98:8089/udp/239.76.253.155:9000
CCTV5,http://58.46.249.210:4022/udp/239.76.246.155:1234
CCTV5,http://58.46.249.210:4022/udp/239.76.253.155:9000
CCTV6,http://118.254.156.192:8888/udp/239.76.246.156:1234
CCTV6,http://118.254.156.192:8888/udp/239.76.253.156:9000
CCTV6,http://118.254.157.12:8888/udp/239.76.246.156:1234
CCTV6,http://118.254.157.12:8888/udp/239.76.253.156:9000
CCTV6,http://118.254.200.62:8888/udp/239.76.246.156:1234
CCTV6,http://118.254.200.62:8888/udp/239.76.253.156:9000
CCTV6,http://118.254.201.216:8888/udp/239.76.246.156:1234
CCTV6,http://118.254.201.216:8888/udp/239.76.253.156:9000
CCTV6,http://118.254.201.247:8888/udp/239.76.246.156:1234
CCTV6,http://118.254.201.247:8888/udp/239.76.253.156:9000
CCTV6,http://118.254.203.199:8888/udp/239.76.246.156:1234
CCTV6,http://118.254.203.199:8888/udp/239.76.253.156:9000
CCTV6,http://124.230.56.20:55555/udp/239.76.246.156:1234
CCTV6,http://124.230.56.20:55555/udp/239.76.253.156:9000
CCTV6,http://175.10.77.250:8089/udp/239.76.246.156:1234
CCTV6,http://175.10.77.250:8089/udp/239.76.253.156:9000
CCTV6,http://175.10.78.239:8089/udp/239.76.246.156:1234
CCTV6,http://175.10.78.239:8089/udp/239.76.253.156:9000
CCTV6,http://175.10.79.138:8089/udp/239.76.246.156:1234
CCTV6,http://175.10.79.138:8089/udp/239.76.253.156:9000
CCTV6,http://175.10.79.98:8089/udp/239.76.246.156:1234
CCTV6,http://175.10.79.98:8089/udp/239.76.253.156:9000
CCTV6,http://58.46.249.210:4022/udp/239.76.246.156:1234
CCTV6,http://58.46.249.210:4022/udp/239.76.253.156:9000
CCTV7,http://118.254.156.192:8888/udp/239.76.246.157:1234
CCTV7,http://118.254.156.192:8888/udp/239.76.253.157:9000
CCTV7,http://118.254.157.12:8888/udp/239.76.246.157:1234
CCTV7,http://118.254.157.12:8888/udp/239.76.253.157:9000
CCTV7,http://118.254.200.62:8888/udp/239.76.246.157:1234
CCTV7,http://118.254.200.62:8888/udp/239.76.253.157:9000
CCTV7,http://118.254.201.216:8888/udp/239.76.246.157:1234
CCTV7,http://118.254.201.216:8888/udp/239.76.253.157:9000
CCTV7,http://118.254.201.247:8888/udp/239.76.246.157:1234
CCTV7,http://118.254.201.247:8888/udp/239.76.253.157:9000
CCTV7,http://118.254.203.199:8888/udp/239.76.246.157:1234
CCTV7,http://118.254.203.199:8888/udp/239.76.253.157:9000
CCTV7,http://124.230.56.20:55555/udp/239.76.246.157:1234
CCTV7,http://124.230.56.20:55555/udp/239.76.253.157:9000
CCTV7,http://175.10.77.250:8089/udp/239.76.246.157:1234
CCTV7,http://175.10.77.250:8089/udp/239.76.253.157:9000
CCTV7,http://175.10.78.239:8089/udp/239.76.246.157:1234
CCTV7,http://175.10.78.239:8089/udp/239.76.253.157:9000
CCTV7,http://175.10.79.138:8089/udp/239.76.246.157:1234
CCTV7,http://175.10.79.138:8089/udp/239.76.253.157:9000
CCTV7,http://175.10.79.98:8089/udp/239.76.246.157:1234
CCTV7,http://175.10.79.98:8089/udp/239.76.253.157:9000
CCTV7,http://58.46.249.210:4022/udp/239.76.246.157:1234
CCTV7,http://58.46.249.210:4022/udp/239.76.253.157:9000
CCTV8,http://118.254.156.192:8888/udp/239.76.246.158:1234
CCTV8,http://118.254.156.192:8888/udp/239.76.253.158:9000
CCTV8,http://118.254.157.12:8888/udp/239.76.246.158:1234
CCTV8,http://118.254.157.12:8888/udp/239.76.253.158:9000
CCTV8,http://118.254.200.62:8888/udp/239.76.246.158:1234
CCTV8,http://118.254.200.62:8888/udp/239.76.253.158:9000
CCTV8,http://118.254.201.216:8888/udp/239.76.246.158:1234
CCTV8,http://118.254.201.216:8888/udp/239.76.253.158:9000
CCTV8,http://118.254.201.247:8888/udp/239.76.246.158:1234
CCTV8,http://118.254.201.247:8888/udp/239.76.253.158:9000
CCTV8,http://118.254.203.199:8888/udp/239.76.246.158:1234
CCTV8,http://118.254.203.199:8888/udp/239.76.253.158:9000
CCTV8,http://124.230.56.20:55555/udp/239.76.246.158:1234
CCTV8,http://124.230.56.20:55555/udp/239.76.253.158:9000
CCTV8,http://175.10.77.250:8089/udp/239.76.246.158:1234
CCTV8,http://175.10.77.250:8089/udp/239.76.253.158:9000
CCTV8,http://175.10.78.239:8089/udp/239.76.246.158:1234
CCTV8,http://175.10.78.239:8089/udp/239.76.253.158:9000
CCTV8,http://175.10.79.138:8089/udp/239.76.246.158:1234
CCTV8,http://175.10.79.138:8089/udp/239.76.253.158:9000
CCTV8,http://175.10.79.98:8089/udp/239.76.246.158:1234
CCTV8,http://175.10.79.98:8089/udp/239.76.253.158:9000
CCTV8,http://58.46.249.210:4022/udp/239.76.246.158:1234
CCTV8,http://58.46.249.210:4022/udp/239.76.253.158:9000
CCTV9,http://118.254.156.192:8888/udp/239.76.246.159:1234
CCTV9,http://118.254.156.192:8888/udp/239.76.253.159:9000
CCTV9,http://118.254.157.12:8888/udp/239.76.246.159:1234
CCTV9,http://118.254.157.12:8888/udp/239.76.253.159:9000
CCTV9,http://118.254.200.62:8888/udp/239.76.246.159:1234
CCTV9,http://118.254.200.62:8888/udp/239.76.253.159:9000
CCTV9,http://118.254.201.216:8888/udp/239.76.246.159:1234
CCTV9,http://118.254.201.216:8888/udp/239.76.253.159:9000
CCTV9,http://118.254.201.247:8888/udp/239.76.246.159:1234
CCTV9,http://118.254.201.247:8888/udp/239.76.253.159:9000
CCTV9,http://118.254.203.199:8888/udp/239.76.246.159:1234
CCTV9,http://118.254.203.199:8888/udp/239.76.253.159:9000
CCTV9,http://124.230.56.20:55555/udp/239.76.246.159:1234
CCTV9,http://124.230.56.20:55555/udp/239.76.253.159:9000
CCTV9,http://175.10.77.250:8089/udp/239.76.246.159:1234
CCTV9,http://175.10.77.250:8089/udp/239.76.253.159:9000
CCTV9,http://175.10.78.239:8089/udp/239.76.246.159:1234
CCTV9,http://175.10.78.239:8089/udp/239.76.253.159:9000
CCTV9,http://175.10.79.138:8089/udp/239.76.246.159:1234
CCTV9,http://175.10.79.138:8089/udp/239.76.253.159:9000
CCTV9,http://175.10.79.98:8089/udp/239.76.246.159:1234
CCTV9,http://175.10.79.98:8089/udp/239.76.253.159:9000
CCTV9,http://58.46.249.210:4022/udp/239.76.246.159:1234
CCTV9,http://58.46.249.210:4022/udp/239.76.253.159:9000
CCTV10,http://118.254.156.192:8888/udp/239.76.246.160:1234
CCTV10,http://118.254.156.192:8888/udp/239.76.253.160:9000
CCTV10,http://118.254.157.12:8888/udp/239.76.246.160:1234
CCTV10,http://118.254.157.12:8888/udp/239.76.253.160:9000
CCTV10,http://118.254.200.62:8888/udp/239.76.246.160:1234
CCTV10,http://118.254.200.62:8888/udp/239.76.253.160:9000
CCTV10,http://118.254.201.216:8888/udp/239.76.246.160:1234
CCTV10,http://118.254.201.216:8888/udp/239.76.253.160:9000
CCTV10,http://118.254.201.247:8888/udp/239.76.246.160:1234
CCTV10,http://118.254.201.247:8888/udp/239.76.253.160:9000
CCTV10,http://118.254.203.199:8888/udp/239.76.246.160:1234
CCTV10,http://118.254.203.199:8888/udp/239.76.253.160:9000
CCTV10,http://124.230.56.20:55555/udp/239.76.246.160:1234
CCTV10,http://124.230.56.20:55555/udp/239.76.253.160:9000
